producto,id,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
Brahma (Cerveza),2,0,0,0,0,0,0,610.0,630.0,883.0,1005.0,1298.0,874.0,682.0,565.0,636.0,535.0,499.0,304.0,372.0,527.0,421.0,739.0,783.0,907.0,727.0,358.0,518.0,375.0,360.0,254.0,368.0,414.0,121.0,0,0,0,0,0,0,1.0,0,0,0,0,0,71.0,780.0,937.0,796.0,323.0,556.0,434.0,380.0,194.0,250.0,316.0,420.0,427.0,636.0,863.0,709.0,262.0,501.0,364.0,286.0,207.0,208.0,354.0,474.0,590.0,769.0,650.0,633.0,501.0,429.0,249.0,343.0,326.0,289.0,320.0,359.0,558.0,556.0,757.0,723.0,410.0,471.0,382.0,244.0,219.0,270.0,419.0,326.0,506.0,559.0,800.0,659.0,417.0,437.0,492.0,360.0,286.0,342.0,468.0,553.0,474.0,57.0,0
Andes (Cerveza),3,0,0,0,0,0,0,19.0,12.0,29.0,33.0,36.0,49.0,18.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,11.0,10.0,11.0,0,5.0,18.0,0,0,0,0,0,0,0,0,0,2.0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,4.0,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Budweiser (Cerveza),4,0,0,0,0,0,0,7.0,15.0,62.0,56.0,118.0,199.0,81.0,48.0,28.0,57.0,56.0,63.0,64.0,118.0,104.0,168.0,156.0,120.0,85.0,45.0,94.0,86.0,56.0,44.0,39.0,62.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,111.0,172.0,142.0,55.0,95.0,89.0,66.0,21.0,76.0,74.0,75.0,96.0,96.0,149.0,168.0,33.0,87.0,109.0,26.0,55.0,51.0,59.0,115.0,90.0,133.0,156.0,156.0,149.0,65.0,67.0,65.0,51.0,50.0,111.0,204.0,262.0,350.0,390.0,286.0,181.0,99.0,110.0,84.0,43.0,114.0,133.0,166.0,212.0,155.0,223.0,212.0,64.0,199.0,190.0,133.0,87.0,139.0,151.0,170.0,141.0,23.0,0
Cordoba (Cerveza),5,0,0,0,0,0,0,71.0,62.0,70.0,65.0,61.0,87.0,84.0,42.0,35.0,40.0,35.0,41.0,37.0,42.0,55.0,65.0,75.0,63.0,92.0,55.0,119.0,114.0,45.0,28.0,33.0,61.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,72.0,106.0,92.0,38.0,66.0,51.0,29.0,14.0,67.0,80.0,70.0,77.0,97.0,83.0,66.0,9.0,48.0,53.0,54.0,48.0,63.0,41.0,64.0,32.0,48.0,44.0,39.0,16.0,14.0,17.0,15.0,5.0,8.0,118.0,125.0,277.0,439.0,456.0,382.0,179.0,156.0,168.0,198.0,231.0,295.0,163.0,171.0,276.0,242.0,314.0,283.0,119.0,152.0,133.0,153.0,120.0,138.0,166.0,152.0,120.0,14.0,0
Heineken (Cerveza),6,0,0,0,0,0,0,37.0,36.0,75.0,63.0,80.0,128.0,99.0,52.0,35.0,45.0,33.0,31.0,26.0,29.0,31.0,23.0,20.0,42.0,63.0,16.0,48.0,36.0,28.0,15.0,10.0,39.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,41.0,109.0,124.0,27.0,42.0,42.0,27.0,20.0,30.0,28.0,32.0,50.0,55.0,74.0,70.0,10.0,34.0,42.0,23.0,14.0,24.0,34.0,26.0,27.0,87.0,58.0,55.0,16.0,22.0,14.0,17.0,26.0,11.0,27.0,41.0,43.0,56.0,94.0,66.0,34.0,35.0,41.0,21.0,19.0,30.0,37.0,36.0,64.0,52.0,53.0,50.0,29.0,28.0,41.0,40.0,29.0,36.0,53.0,38.0,47.0,3.0,0
Isenbeck descartable,7,0,0,0,0,0,0,7.0,15.0,18.0,11.0,21.0,7.0,5.0,22.0,11.0,3.0,0,0,0,0,0,1.0,1.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,23.0,37.0,44.0,9.0,13.0,13.0,1.0,3.0,5.0,2.0,5.0,1.0,0,0,0,0,0,6.0,12.0,7.0,16.0,23.0,25.0,17.0,4.0,23.0,29.0,16.0,20.0,13.0,10.0,36.0,8.0,9.0,8.0,9.0,8.0,11.0,10.0,7.0,11.0,7.0,8.0,1.0,16.0,32.0,19.0,18.0,27.0,32.0,14.0,15.0,24.0,13.0,8.0,11.0,17.0,26.0,18.0,22.0,1.0,0
Quilmes LIEBER sin alcohol (Cerveza),8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,10.0,16.0,10.0,10.0,22.0,7.0,15.0,33.0,4.0,0,0,0,0,0,0,11.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.0,6.0,0,1.0,2.0,1.0,14.0,25.0,25.0,31.0,18.0,19.0,12.0,26.0,10.0,13.0,4.0,5.0,1.0,4.0,1.0,8.0,3.0,5.0,4.0,1.0,0,9.0,5.0,15.0,1.0,8.0,10.0,7.0,10.0,12.0,15.0,14.0,1.0,0,0,0,0,2.0,9.0,29.0,24.0,23.0,27.0,14.0,16.0,23.0,7.0,1.0,1.0,6.0,9.0,26.0,39.0,1.0,0
Lata Brahma 354cc (Cerveza),9,0,0,0,0,0,0,15.0,0,0,0,1.0,0,0,0,0,0,0,0,0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,16.0,13.0,12.0,9.0,6.0,7.0,1.0,2.0,1.0,0,0,0,0,0
Stella monjita (Cerveza),10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,0,2.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0
Quilmes (Cerveza),11,0,0,0,0,0,0,189.0,242.0,635.0,480.0,634.0,1117.0,702.0,269.0,378.0,288.0,300.0,304.0,330.0,301.0,283.0,646.0,790.0,884.0,1029.0,687.0,728.0,453.0,531.0,210.0,292.0,407.0,121.0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,861.0,1216.0,925.0,284.0,516.0,540.0,201.0,239.0,340.0,350.0,725.0,543.0,916.0,1062.0,987.0,258.0,647.0,426.0,320.0,227.0,371.0,472.0,669.0,583.0,612.0,816.0,592.0,380.0,396.0,172.0,181.0,226.0,242.0,349.0,322.0,390.0,483.0,698.0,483.0,406.0,313.0,164.0,157.0,179.0,180.0,296.0,235.0,483.0,498.0,764.0,622.0,247.0,512.0,472.0,300.0,150.0,302.0,501.0,423.0,717.0,47.0,0
Quilmes Bock (Cerveza),12,0,0,0,0,0,0,24.0,9.0,24.0,28.0,51.0,55.0,21.0,5.0,17.0,10.0,15.0,11.0,10.0,12.0,13.0,42.0,37.0,41.0,4.0,11.0,9.0,11.0,5.0,5.0,2.0,26.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,35.0,43.0,26.0,0,3.0,13.0,8.0,3.0,1.0,8.0,7.0,5.0,11.0,24.0,11.0,0,16.0,4.0,4.0,3.0,1.0,5.0,7.0,10.0,15.0,7.0,3.0,6.0,5.0,12.0,2.0,13.0,6.0,25.0,13.0,17.0,12.0,17.0,0,0,7.0,3.0,4.0,0,0,7.0,5.0,17.0,13.0,8.0,0,0,4.0,18.0,6.0,16.0,2.0,12.0,9.0,13.0,0,0
Warsteiner (Cerveza),14,0,0,0,0,0,0,39.0,33.0,50.0,74.0,64.0,80.0,72.0,34.0,49.0,40.0,22.0,31.0,13.0,26.0,28.0,46.0,42.0,41.0,67.0,41.0,83.0,44.0,39.0,22.0,22.0,26.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,57.0,48.0,6.0,15.0,5.0,7.0,12.0,3.0,0,7.0,12.0,16.0,27.0,19.0,2.0,16.0,7.0,1.0,0,0,1.0,4.0,6.0,8.0,16.0,7.0,4.0,1.0,0,4.0,2.0,0,10.0,2.0,0,0,0,11.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahou monjita (españa),15,0,0,0,0,0,0,1.0,4.0,3.0,2.0,8.0,34.0,23.0,12.0,0,0,0,8.0,16.0,9.0,8.0,12.0,42.0,15.0,10.0,14.0,2.0,0,1.0,6.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,7.0,6.0,11.0,0,2.0,8.0,2.0,3.0,0,0,0,2.0,6.0,0,0,0,0,0,0,0,0,0,0,0
Quilmes BAJO CERO,17,0,0,0,0,0,0,5.0,9.0,4.0,6.0,2.0,1.0,0,0,0,1.0,4.0,3.0,7.0,5.0,0,0,14.0,9.0,0,0,0,0,0,0,0,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.0,18.0,19.0,13.0,11.0,33.0,46.0,42.0,50.0,1.0,29.0,7.0,15.0,14.0,11.0,26.0,33.0,25.0,22.0,19.0,19.0,21.0,15.0,11.0,9.0,13.0,4.0,19.0,9.0,24.0,31.0,34.0,34.0,22.0,43.0,32.0,11.0,6.0,10.0,13.0,19.0,28.0,30.0,22.0,14.0,11.0,0,0,0,9.0,0,33.0,24.0,25.0,11.0,0
Imperial Trigo,18,0,0,0,0,0,0,1.0,7.0,7.0,42.0,19.0,9.0,2.0,2.0,26.0,16.0,6.0,3.0,0,10.0,5.0,0,7.0,25.0,19.0,11.0,5.0,2.0,12.0,6.0,9.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,8.0,6.0,12.0,6.0,6.0,0,0,0,0,0,0
Sol Cerveza (mexico),19,0,0,0,0,0,0,5.0,0,1.0,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,7.0,1.0,1.0,4.0,2.0,6.0,1.0,2.0,2.0,2.0,4.0,2.0,0,0,0
Iguana (Cerveza),20,0,0,0,0,0,0,23.0,14.0,57.0,20.0,32.0,62.0,50.0,21.0,33.0,19.0,12.0,8.0,16.0,20.0,13.0,21.0,17.0,39.0,4.0,20.0,44.0,50.0,46.0,23.0,4.0,22.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,15.0,2.0,8.0,23.0,27.0,28.0,10.0,11.0,11.0,15.0,12.0,20.0,35.0,0,0,9.0,13.0,8.0,6.0,7.0,5.0,0,0,0,0,20.0,8.0,7.0,0,0,7.0,5.0,0,0,0,1.0,3.0,0,0,0,0,0,1.0,0,1.0,2.0,19.0,6.0,8.0,0,5.0,7.0,0,6.0,6.0,1.0,14.0,10.0,3.0,1.0,0
Stella Artois Noire,21,0,0,0,0,0,0,1.0,1.0,1.0,5.0,12.0,16.0,0,0,0,0,0,0,1.0,7.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,0,0,0,0,0,0,0,0,0,2.0,3.0,17.0,12.0,11.0,0,0,4.0,1.0,3.0,2.0,0,4.0,0,1.0,0,0,9.0,2.0,3.0,1.0,8.0,1.0,0,7.0,7.0,6.0,0,0
Quilmes monjita (Damajuana),191,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,22.0,13.0,9.0,6.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,1.0,3.0,5.0,0,1.0,2.0,0,3.0,0,0,0,0,0,0,0,0,1.0,0,0,7.0,4.0,0,4.0,3.0,0,0,0,3.0,6.0,17.0,1.0,4.0,0,0,6.0,9.0,4.0,1.0,0,0,0,0,0,0,0
