producto,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
Philip Morris 10,0,0,0,0,0,0,0,203.0,205.0,232.0,239.0,274.0,315.0,146.0,244.0,138.0,213.0,192.0,230.0,174.0,38.0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,202.0,230.0,209.0,138.0,210.0,235.0,216.0,157.0,143.0,277.0,166.0,179.0,184.0,183.0,182.0,35.0,188.0,161.0,122.0,118.0,145.0,100.0,116.0,166.0,153.0,132.0,151.0,157.0,171.0,142.0,141.0,174.0,151.0,107.0,114.0,147.0,117.0,185.0,150.0,136.0,141.0,118.0,134.0,103.0,107.0,139.0,114.0,139.0,130.0,183.0,191.0,105.0,140.0,158.0,123.0,141.0,138.0,142.0,146.0,130.0,26.0,0
Philip Morris 20,0,0,0,0,0,0,0,360.0,327.0,332.0,336.0,365.0,314.0,307.0,378.0,312.0,356.0,348.0,343.0,371.0,73.0,0,0,0,0,0,0,0,0,0,0,0,0,39.0,355.0,466.0,493.0,266.0,445.0,386.0,377.0,270.0,448.0,409.0,358.0,390.0,333.0,428.0,364.0,91.0,429.0,345.0,283.0,290.0,283.0,247.0,316.0,289.0,265.0,356.0,299.0,248.0,310.0,288.0,279.0,260.0,239.0,271.0,217.0,285.0,241.0,284.0,310.0,314.0,306.0,273.0,246.0,210.0,220.0,257.0,232.0,326.0,307.0,320.0,317.0,202.0,270.0,322.0,297.0,323.0,345.0,355.0,387.0,301.0,52.0,0
Philip Morris 20 box,0,0,0,0,0,0,0,28.0,25.0,22.0,26.0,25.0,33.0,15.0,30.0,20.0,17.0,16.0,27.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,35.0,38.0,29.0,12.0,31.0,26.0,26.0,17.0,7.0,20.0,25.0,21.0,29.0,45.0,35.0,12.0,42.0,23.0,22.0,16.0,11.0,25.0,24.0,16.0,26.0,37.0,31.0,43.0,51.0,27.0,49.0,52.0,43.0,52.0,59.0,55.0,56.0,99.0,79.0,62.0,68.0,60.0,35.0,43.0,43.0,39.0,52.0,39.0,57.0,71.0,70.0,49.0,77.0,80.0,48.0,36.0,47.0,43.0,65.0,54.0,8.0,0
Marlboro 10,0,0,0,0,0,0,0,71.0,47.0,76.0,95.0,89.0,71.0,54.0,68.0,70.0,59.0,41.0,81.0,73.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,58.0,36.0,67.0,13.0,50.0,58.0,59.0,46.0,54.0,50.0,46.0,67.0,60.0,59.0,66.0,20.0,52.0,49.0,63.0,37.0,38.0,26.0,37.0,40.0,36.0,29.0,49.0,24.0,36.0,35.0,34.0,25.0,28.0,37.0,37.0,29.0,31.0,34.0,41.0,35.0,44.0,35.0,32.0,44.0,30.0,53.0,45.0,43.0,71.0,57.0,56.0,27.0,48.0,35.0,33.0,39.0,42.0,41.0,33.0,29.0,9.0,0
Marlboro 20,0,0,0,0,0,0,0,75.0,74.0,72.0,86.0,102.0,70.0,51.0,105.0,87.0,106.0,83.0,122.0,169.0,42.0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,127.0,170.0,152.0,76.0,102.0,109.0,140.0,84.0,114.0,109.0,123.0,128.0,122.0,146.0,124.0,36.0,140.0,127.0,89.0,94.0,79.0,103.0,98.0,88.0,113.0,122.0,102.0,89.0,86.0,72.0,77.0,86.0,132.0,119.0,100.0,119.0,97.0,144.0,102.0,111.0,135.0,116.0,69.0,99.0,90.0,105.0,95.0,90.0,94.0,124.0,154.0,101.0,93.0,82.0,87.0,114.0,114.0,79.0,112.0,81.0,17.0,0
Pall Mall 20 box nuevos,0,0,0,0,0,0,0,36.0,31.0,19.0,11.0,21.0,9.0,3.0,0,10.0,4.0,4.0,6.0,4.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,5.0,7.0,3.0,4.0,9.0,6.0,9.0,1.0,0,4.0,2.0,1.0,4.0,10.0,4.0,8.0,5.0,4.0,4.0,3.0,1.0,3.0,1.0,1.0,0,0,3.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,1.0,1.0,1.0,0,0
Marlboro 20 box,0,0,0,0,0,0,0,78.0,96.0,108.0,117.0,114.0,118.0,84.0,94.0,79.0,85.0,80.0,109.0,71.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,102.0,97.0,127.0,58.0,101.0,99.0,79.0,62.0,91.0,95.0,105.0,78.0,100.0,125.0,103.0,33.0,94.0,99.0,84.0,56.0,72.0,62.0,69.0,69.0,86.0,94.0,88.0,86.0,102.0,78.0,107.0,105.0,111.0,139.0,91.0,137.0,125.0,124.0,160.0,147.0,129.0,140.0,108.0,115.0,100.0,120.0,122.0,156.0,134.0,153.0,161.0,77.0,141.0,154.0,117.0,127.0,125.0,139.0,121.0,118.0,20.0,0
Lemans 10,0,0,0,0,0,0,0,72.0,35.0,68.0,71.0,87.0,60.0,45.0,59.0,57.0,40.0,59.0,43.0,60.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,47.0,45.0,70.0,41.0,51.0,50.0,55.0,57.0,39.0,44.0,47.0,57.0,50.0,67.0,43.0,15.0,44.0,39.0,44.0,29.0,20.0,17.0,18.0,27.0,41.0,34.0,23.0,43.0,40.0,20.0,35.0,30.0,33.0,25.0,32.0,33.0,25.0,19.0,24.0,17.0,7.0,15.0,5.0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0
Lemans 20,0,0,0,0,0,0,0,37.0,46.0,50.0,54.0,50.0,54.0,38.0,56.0,53.0,61.0,68.0,61.0,91.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,72.0,117.0,86.0,58.0,90.0,75.0,82.0,78.0,94.0,75.0,59.0,51.0,56.0,75.0,71.0,22.0,56.0,59.0,57.0,40.0,42.0,27.0,25.0,44.0,50.0,43.0,50.0,46.0,41.0,33.0,38.0,30.0,35.0,32.0,35.0,41.0,40.0,42.0,37.0,30.0,37.0,33.0,33.0,31.0,19.0,33.0,34.0,37.0,34.0,45.0,51.0,25.0,44.0,40.0,35.0,31.0,31.0,37.0,38.0,21.0,0,0
Lemans 100,0,0,0,0,0,0,0,3.0,15.0,13.0,20.0,3.0,20.0,7.0,1.0,4.0,9.0,7.0,0,8.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,7.0,12.0,14.0,8.0,16.0,7.0,8.0,11.0,8.0,6.0,13.0,7.0,21.0,17.0,7.0,3.0,32.0,6.0,7.0,3.0,11.0,3.0,2.0,3.0,14.0,16.0,14.0,19.0,16.0,16.0,22.0,15.0,28.0,28.0,16.0,23.0,19.0,25.0,26.0,11.0,21.0,21.0,13.0,16.0,16.0,13.0,17.0,13.0,18.0,32.0,20.0,8.0,23.0,19.0,24.0,20.0,23.0,29.0,20.0,24.0,4.0,0
Parliament 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parliament 20,0,0,0,0,0,0,0,38.0,34.0,41.0,40.0,30.0,31.0,24.0,32.0,29.0,28.0,26.0,39.0,41.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,36.0,29.0,24.0,13.0,45.0,46.0,30.0,18.0,43.0,29.0,36.0,29.0,20.0,45.0,38.0,10.0,27.0,37.0,34.0,27.0,45.0,16.0,27.0,18.0,29.0,21.0,29.0,21.0,20.0,19.0,37.0,30.0,33.0,31.0,33.0,25.0,34.0,50.0,42.0,27.0,26.0,31.0,22.0,26.0,30.0,28.0,29.0,30.0,32.0,42.0,31.0,15.0,17.0,25.0,21.0,37.0,36.0,32.0,32.0,36.0,5.0,0
Particulares,0,0,0,0,0,0,0,6.0,3.0,1.0,0,3.0,3.0,8.0,19.0,10.0,1.0,4.0,5.0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,2.0,1.0,0,3.0,2.0,2.0,1.0,2.0,3.0,6.0,2.0,2.0,0,1.0,0,0,1.0,0,9.0,7.0,2.0,0,5.0,5.0,1.0,8.0,7.0,14.0,11.0,2.0,0,10.0,5.0,4.0,10.0,2.0,5.0,6.0,6.0,10.0,17.0,10.0,13.0,5.0,3.0,3.0,1.0,4.0,0,2.0,0,1.0,2.0,0,0
Imparciales,0,0,0,0,0,0,0,2.0,0,4.0,0,2.0,3.0,0,0,3.0,1.0,2.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1.0,1.0,4.0,1.0,2.0,7.0,9.0,8.0,4.0,10.0,12.0,0,3.0,4.0,6.0,5.0,3.0,4.0,7.0,5.0,5.0,13.0,7.0,3.0,10.0,5.0,12.0,20.0,6.0,13.0,10.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,0,1.0,4.0,5.0,1.0,5.0,2.0,1.0,0,3.0,2.0,2.0,3.0,0,5.0,3.0,0,0
LyM,0,0,0,0,0,0,0,3.0,5.0,2.0,8.0,12.0,4.0,8.0,4.0,5.0,2.0,0,6.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,6.0,4.0,0,3.0,2.0,2.0,0,0,1.0,1.0,1.0,0,3.0,2.0,1.0,0,3.0,0,1.0,0,1.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LyM box,0,0,0,0,0,0,0,5.0,9.0,11.0,8.0,11.0,8.0,3.0,10.0,8.0,8.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3.0,1.0,0,0,0,0,0,2.0,0,0,0,0,5.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benson & Hedges,0,0,0,0,0,0,0,17.0,10.0,14.0,7.0,15.0,12.0,11.0,7.0,13.0,9.0,5.0,9.0,12.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,9.0,11.0,12.0,13.0,17.0,16.0,17.0,9.0,20.0,19.0,25.0,9.0,10.0,16.0,17.0,5.0,24.0,15.0,9.0,13.0,8.0,7.0,16.0,16.0,18.0,14.0,13.0,7.0,13.0,7.0,5.0,5.0,8.0,22.0,9.0,14.0,11.0,16.0,16.0,7.0,19.0,20.0,12.0,9.0,16.0,34.0,23.0,26.0,20.0,18.0,10.0,6.0,13.0,8.0,12.0,9.0,14.0,23.0,9.0,11.0,2.0,0
Chesterfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,16.0,0,8.0,19.0,18.0,23.0,5.0,2.0,2.0,2.0,5.0,12.0,6.0,0,4.0,4.0,1.0,0,1.0,0
Colorado 20 Baisha,0,0,0,0,0,0,0,62.0,40.0,68.0,68.0,49.0,76.0,29.0,61.0,34.0,48.0,48.0,53.0,51.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,52.0,67.0,65.0,37.0,63.0,68.0,71.0,58.0,68.0,61.0,69.0,47.0,65.0,83.0,50.0,13.0,58.0,102.0,91.0,93.0,95.0,113.0,89.0,97.0,85.0,91.0,86.0,87.0,80.0,58.0,77.0,60.0,57.0,73.0,77.0,99.0,117.0,103.0,95.0,119.0,101.0,125.0,119.0,137.0,163.0,158.0,128.0,129.0,151.0,164.0,137.0,88.0,114.0,132.0,128.0,90.0,68.0,80.0,82.0,74.0,23.0,0
Camel 10,0,0,0,0,0,0,0,24.0,25.0,26.0,27.0,22.0,32.0,13.0,12.0,21.0,19.0,15.0,15.0,16.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,12.0,25.0,18.0,2.0,9.0,6.0,14.0,10.0,3.0,7.0,4.0,3.0,11.0,8.0,9.0,12.0,20.0,9.0,12.0,3.0,7.0,6.0,12.0,8.0,13.0,12.0,8.0,10.0,9.0,7.0,16.0,11.0,12.0,22.0,11.0,11.0,18.0,15.0,18.0,14.0,14.0,18.0,15.0,12.0,27.0,31.0,20.0,20.0,10.0,16.0,13.0,7.0,9.0,10.0,18.0,15.0,17.0,11.0,30.0,25.0,3.0,0
Viceroy 20 CONVERTIBLES Switch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,9.0,3.0,7.0,7.0,3.0,0,3.0,3.0,8.0,6.0,6.0,6.0,4.0,4.0,1.0,2.0,4.0,4.0,2.0,1.0,2.0,4.0,16.0,16.0,17.0,11.0,7.0,15.0,8.0,17.0,17.0,26.0,6.0,0
Camel 20,0,0,0,0,0,0,0,39.0,46.0,34.0,43.0,36.0,41.0,25.0,29.0,42.0,35.0,28.0,22.0,45.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,40.0,41.0,34.0,12.0,42.0,26.0,24.0,24.0,21.0,22.0,28.0,34.0,30.0,39.0,45.0,23.0,39.0,29.0,25.0,19.0,10.0,12.0,25.0,17.0,20.0,28.0,23.0,23.0,18.0,18.0,29.0,26.0,36.0,27.0,29.0,35.0,35.0,43.0,54.0,35.0,53.0,49.0,24.0,25.0,33.0,36.0,26.0,50.0,33.0,45.0,42.0,19.0,36.0,18.0,27.0,24.0,23.0,30.0,32.0,37.0,5.0,0
Marlboro 20 FUSION BLAST Doble click 20 box,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,5.0,15.0,21.0,18.0,3.0,0
Camel 20 box,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,0,0,0,2.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,1.0,0,0,0,0,3.0,1.0,0,4.0,3.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0
Desconocido,0,0,0,0,0,0,0,2.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XXXXX,0,0,0,0,0,0,0,35.0,8.0,11.0,8.0,7.0,8.0,7.0,5.0,7.0,7.0,9.0,7.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4.0,15.0,7.0,5.0,13.0,11.0,7.0,12.0,7.0,9.0,7.0,1.0,2.0,9.0,10.0,9.0,8.0,7.0,4.0,0,1.0,3.0,10.0,2.0,0,6.0,13.0,8.0,2.0,13.0,2.0,6.0,2.0,5.0,13.0,9.0,3.0,10.0,9.0,10.0,4.0,6.0,6.0,1.0,0,7.0,9.0,11.0,6.0,12.0,16.0,4.0,4.0,5.0,1.0,0,4.0,1.0,0,0,0,0
Derby 10,0,0,0,0,0,0,0,2.0,2.0,1.0,2.0,0,5.0,0,4.0,7.0,12.0,8.0,4.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,1.0,0,1.0,4.0,2.0,0,0,0,0,2.0,2.0,0,0,2.0,0,0,0,0,1.0,0,0,0,0,0,0,3.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desconocido,0,0,0,0,0,0,0,9.0,7.0,10.0,15.0,11.0,5.0,5.0,2.0,5.0,6.0,10.0,10.0,9.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,1.0,0,0,0,0,3.0,8.0,8.0,2.0,1.0,2.0,1.0,1.0,0,0,1.0,0,0,0,0,0,0,2.0,2.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derby 20,0,0,0,0,0,0,0,26.0,24.0,28.0,20.0,32.0,24.0,18.0,14.0,13.0,27.0,25.0,21.0,22.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,26.0,35.0,29.0,20.0,25.0,23.0,20.0,18.0,27.0,16.0,18.0,22.0,20.0,47.0,24.0,8.0,22.0,18.0,15.0,16.0,17.0,6.0,21.0,29.0,17.0,21.0,18.0,11.0,15.0,16.0,18.0,23.0,14.0,9.0,11.0,12.0,8.0,17.0,18.0,11.0,13.0,4.0,18.0,17.0,6.0,11.0,11.0,8.0,10.0,13.0,7.0,10.0,7.0,1.0,1.0,5.0,9.0,6.0,1.0,0,0,0
Derby 20 Suaves,0,0,0,0,0,0,0,5.0,11.0,12.0,14.0,14.0,8.0,10.0,7.0,11.0,8.0,3.0,3.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,6.0,10.0,3.0,1.0,10.0,6.0,4.0,9.0,4.0,6.0,7.0,13.0,13.0,14.0,3.0,2.0,4.0,6.0,8.0,11.0,7.0,2.0,6.0,2.0,3.0,7.0,11.0,18.0,16.0,23.0,20.0,6.0,11.0,12.0,16.0,17.0,10.0,12.0,10.0,8.0,15.0,11.0,5.0,15.0,14.0,9.0,10.0,12.0,15.0,9.0,11.0,7.0,11.0,8.0,13.0,15.0,6.0,0,0,0,0
Conway 20,0,0,0,0,0,0,0,7.0,4.0,1.0,0,0,2.0,1.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,17.0,8.0,10.0,2.0,6.0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jockey 20,0,0,0,0,0,0,0,2.0,16.0,10.0,10.0,17.0,12.0,7.0,3.0,7.0,5.0,1.0,2.0,11.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,1.0,2.0,2.0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pall Mall 20,0,0,0,0,0,0,0,10.0,10.0,12.0,12.0,12.0,7.0,9.0,19.0,18.0,9.0,11.0,11.0,12.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,13.0,12.0,20.0,7.0,10.0,9.0,5.0,2.0,2.0,4.0,4.0,4.0,12.0,8.0,2.0,1.0,2.0,4.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,0,0,0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,1.0,3.0,3.0,0
Gold Leaf,0,0,0,0,0,0,0,12.0,11.0,5.0,27.0,20.0,29.0,18.0,9.0,17.0,18.0,17.0,17.0,21.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,15.0,14.0,5.0,14.0,16.0,13.0,11.0,11.0,10.0,15.0,11.0,13.0,16.0,9.0,12.0,17.0,27.0,29.0,25.0,22.0,23.0,26.0,23.0,33.0,25.0,29.0,21.0,19.0,27.0,19.0,20.0,18.0,22.0,15.0,19.0,21.0,21.0,25.0,15.0,31.0,30.0,22.0,26.0,20.0,33.0,34.0,33.0,44.0,49.0,80.0,37.0,36.0,29.0,29.0,25.0,31.0,32.0,31.0,29.0,4.0,0
Gitanes,0,0,0,0,0,0,0,7.0,14.0,9.0,6.0,6.0,6.0,4.0,4.0,2.0,1.0,3.0,6.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,11.0,5.0,1.0,5.0,3.0,4.0,1.0,1.0,1.0,2.0,4.0,5.0,7.0,8.0,4.0,2.0,5.0,8.0,7.0,3.0,7.0,3.0,2.0,2.0,2.0,4.0,6.0,6.0,5.0,10.0,4.0,2.0,4.0,7.0,4.0,6.0,3.0,2.0,3.0,12.0,9.0,9.0,7.0,4.0,6.0,13.0,19.0,14.0,11.0,12.0,11.0,4.0,7.0,9.0,7.0,8.0,5.0,4.0,6.0,6.0,1.0,0
43 70 cortos cigarrillos,0,0,0,0,0,0,0,22.0,16.0,21.0,9.0,8.0,13.0,11.0,18.0,7.0,4.0,6.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,6.0,1.0,2.0,2.0,5.0,3.0,5.0,5.0,6.0,4.0,11.0,6.0,7.0,7.0,5.0,9.0,15.0,9.0,5.0,6.0,13.0,12.0,6.0,6.0,6.0,12.0,7.0,8.0,4.0,3.0,4.0,0,0,6.0,7.0,6.0,4.0,7.0,4.0,1.0,2.0,2.0,1.0,1.0,0,2.0,0,0,4.0,2.0,0,3.0,2.0,12.0,11.0,13.0,2.0,0
