producto,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
Jockey 20 Suaves,0,0,0,0,0,0,0,3.0,1.0,2.0,3.0,8.0,17.0,6.0,9.0,8.0,4.0,4.0,1.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,0,1.0,1.0,6.0,13.0,13.0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pall mall 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,10.0,1.0,0,0,0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richmond,0,0,0,0,0,0,0,62.0,53.0,74.0,55.0,64.0,54.0,44.0,37.0,61.0,38.0,45.0,37.0,32.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,136.0,123.0,142.0,69.0,101.0,112.0,105.0,136.0,70.0,74.0,97.0,144.0,142.0,187.0,162.0,66.0,174.0,139.0,135.0,88.0,124.0,70.0,72.0,92.0,88.0,78.0,122.0,73.0,86.0,65.0,91.0,93.0,89.0,96.0,61.0,68.0,77.0,119.0,77.0,49.0,53.0,51.0,50.0,45.0,67.0,75.0,62.0,52.0,68.0,77.0,62.0,39.0,47.0,58.0,46.0,37.0,38.0,53.0,38.0,24.0,6.0,0
Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tabaco Mariposa aleman,0,0,0,0,0,0,0,1.0,0,0,2.0,1.0,3.0,0,1.0,3.0,4.0,0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,5.0,0,0,5.0,5.0,3.0,2.0,4.0,5.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,0,5.0,1.0,2.0,3.0,1.0,1.0,0,1.0,2.0,4.0,2.0,3.0,0,0,0,1.0,0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,4.0,4.0,10.0,18.0,5.0,0
LyM suaves (Damajuana),0,0,0,0,0,0,0,2.0,1.0,3.0,1.0,22.0,6.0,1.0,1.0,0,1.0,1.0,2.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,15.0,9.0,7.0,6.0,6.0,5.0,2.0,0,7.0,12.0,17.0,3.0,3.0,5.0,15.0,8.0,8.0,0,0,0,0,1.0,0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0
Marlboro 20 ICE BLAST (Damajuana),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,1.0,2.0,1.0,11.0,16.0,17.0,18.0,24.0,32.0,43.0,13.0,27.0,27.0,27.0,15.0,15.0,15.0,9.0,18.0,25.0,23.0,25.0,21.0,21.0,18.0,21.0,19.0,10.0,4.0,5.0,12.0,9.0,15.0,9.0,7.0,5.0,5.0,2.0,5.0,15.0,11.0,8.0,9.0,17.0,17.0,13.0,12.0,6.0,2.0,4.0,15.0,15.0,13.0,22.0,19.0,1.0,0
Lucky Strike 20 box convertibles,0,0,0,0,0,0,0,0,0,6.0,4.0,0,0,2.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,42.0,24.0,45.0,50.0,58.0,70.0,59.0,55.0,62.0,75.0,49.0,73.0,77.0,39.0,51.0,47.0,56.0,57.0,69.0,46.0,57.0,51.0,69.0,92.0,80.0,44.0,61.0,54.0,80.0,59.0,88.0,69.0,88.0,92.0,86.0,91.0,107.0,65.0,57.0,62.0,66.0,62.0,89.0,68.0,75.0,68.0,82.0,99.0,83.0,58.0,100.0,91.0,67.0,79.0,82.0,77.0,58.0,74.0,10.0,0
Play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mill 20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mill 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodeo,0,0,0,0,0,0,0,0,0,0,33.0,24.0,48.0,77.0,139.0,49.0,54.0,36.0,59.0,77.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,43.0,30.0,54.0,42.0,55.0,62.0,70.0,72.0,37.0,49.0,19.0,29.0,59.0,68.0,78.0,14.0,55.0,70.0,48.0,56.0,72.0,52.0,50.0,78.0,61.0,66.0,62.0,36.0,63.0,34.0,22.0,48.0,18.0,26.0,26.0,35.0,48.0,50.0,93.0,41.0,55.0,59.0,37.0,44.0,65.0,58.0,75.0,74.0,56.0,68.0,82.0,29.0,74.0,42.0,44.0,59.0,74.0,61.0,79.0,64.0,10.0,0
Business club,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CJ,0,0,0,0,0,0,0,20.0,18.0,12.0,14.0,7.0,14.0,14.0,14.0,18.0,26.0,15.0,6.0,13.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,15.0,24.0,25.0,29.0,29.0,29.0,26.0,15.0,13.0,23.0,32.0,35.0,11.0,1.0,2.0,1.0,9.0,1.0,3.0,1.0,2.0,0,64.0,100.0,132.0,144.0,110.0,94.0,116.0,89.0,86.0,115.0,97.0,131.0,76.0,139.0,102.0,121.0,95.0,86.0,116.0,136.0,126.0,136.0,118.0,68.0,68.0,100.0,118.0,155.0,145.0,76.0,90.0,137.0,78.0,77.0,110.0,65.0,69.0,40.0,18.0,0
Lucky Strike 20,0,0,0,0,0,0,0,14.0,11.0,18.0,12.0,23.0,30.0,21.0,30.0,39.0,17.0,16.0,31.0,22.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,35.0,41.0,40.0,11.0,22.0,12.0,12.0,34.0,20.0,25.0,20.0,15.0,22.0,21.0,33.0,27.0,28.0,29.0,15.0,16.0,13.0,5.0,15.0,15.0,9.0,16.0,11.0,16.0,9.0,10.0,15.0,21.0,16.0,15.0,18.0,13.0,11.0,19.0,26.0,22.0,25.0,17.0,17.0,9.0,10.0,6.0,17.0,20.0,17.0,28.0,29.0,12.0,19.0,29.0,21.0,15.0,17.0,25.0,27.0,20.0,7.0,0
Tabaco Cuatro Leguas,0,0,0,0,0,0,0,8.0,5.0,7.0,6.0,6.0,10.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,6.0,4.0,7.0,7.0,5.0,6.0,6.0,6.0,6.0,3.0,2.0,1.0,3.0,4.0,0,7.0,19.0,4.0,2.0,0,6.0,3.0,0,5.0,3.0,4.0,4.0,6.0,3.0,2.0,1.0,0,5.0,3.0,5.0,7.0,6.0,10.0,11.0,19.0,8.0,7.0,9.0,3.0,7.0,2.0,5.0,6.0,4.0,4.0,3.0,0,3.0,5.0,20.0,9.0,6.0,7.0,2.0,0,0
Papel fumar OCB blanco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,13.0,11.0,10.0,8.0,8.0,7.0,22.0,14.0,18.0,19.0,17.0,17.0,16.0,16.0,15.0,21.0,15.0,19.0,15.0,13.0,16.0,16.0,14.0,20.0,16.0,26.0,13.0,20.0,19.0,9.0,15.0,17.0,18.0,18.0,15.0,15.0,15.0,17.0,3.0,0
Papel fumal OCB negro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,12.0,18.0,11.0,15.0,21.0,20.0,4.0,14.0,19.0,15.0,9.0,10.0,1.0,7.0,11.0,20.0,10.0,10.0,7.0,4.0,6.0,4.0,9.0,10.0,15.0,3.0,2.0,0,12.0,8.0,5.0,7.0,2.0,12.0,3.0,8.0,5.0,9.0,0,0
Papel Smoking,0,0,0,0,0,0,0,10.0,10.0,8.0,10.0,13.0,21.0,4.0,9.0,17.0,16.0,4.0,4.0,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,16.0,17.0,15.0,14.0,25.0,19.0,12.0,8.0,16.0,14.0,7.0,6.0,8.0,12.0,9.0,2.0,10.0,26.0,4.0,4.0,14.0,7.0,0,1.0,0,2.0,4.0,12.0,6.0,3.0,3.0,2.0,6.0,2.0,0,6.0,3.0,6.0,15.0,7.0,10.0,11.0,3.0,1.0,3.0,0,1.0,0,1.0,2.0,2.0,2.0,0,1.0,3.0,12.0,12.0,1.0,14.0,8.0,0,0
Viceroy 20,0,0,0,0,0,0,0,100.0,74.0,67.0,63.0,96.0,90.0,76.0,79.0,82.0,78.0,49.0,92.0,107.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,111.0,131.0,113.0,51.0,79.0,78.0,66.0,68.0,88.0,76.0,63.0,70.0,83.0,94.0,71.0,27.0,68.0,39.0,44.0,53.0,53.0,50.0,42.0,64.0,54.0,79.0,53.0,65.0,57.0,45.0,60.0,49.0,73.0,38.0,75.0,59.0,41.0,60.0,55.0,33.0,46.0,41.0,67.0,50.0,55.0,39.0,43.0,46.0,56.0,56.0,62.0,34.0,23.0,28.0,25.0,19.0,19.0,31.0,29.0,24.0,1.0,0
Viceroy 10,0,0,0,0,0,0,0,24.0,34.0,20.0,22.0,33.0,33.0,20.0,22.0,50.0,54.0,75.0,66.0,101.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,51.0,36.0,30.0,23.0,28.0,38.0,27.0,19.0,49.0,39.0,37.0,26.0,17.0,15.0,17.0,15.0,22.0,21.0,27.0,17.0,8.0,13.0,26.0,30.0,13.0,18.0,17.0,11.0,10.0,5.0,7.0,11.0,6.0,11.0,18.0,8.0,9.0,14.0,20.0,9.0,6.0,13.0,10.0,16.0,12.0,7.0,19.0,15.0,23.0,17.0,15.0,11.0,23.0,23.0,17.0,9.0,7.0,13.0,11.0,9.0,2.0,0
43 70 largos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Next 20 box,0,0,0,0,0,0,0,26.0,16.0,17.0,10.0,9.0,3.0,7.0,18.0,30.0,21.0,19.0,15.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,1.0,6.0,1.0,0,2.0,0,2.0,0,6.0,1.0,3.0,3.0,5.0,1.0,8.0,1.0,2.0,0,0,0,3.0,2.0,3.0,0,0,0,0,4.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Next 20,0,0,0,0,0,0,0,38.0,40.0,35.0,32.0,52.0,56.0,43.0,66.0,54.0,33.0,30.0,34.0,34.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,25.0,26.0,24.0,15.0,21.0,33.0,26.0,22.0,31.0,23.0,16.0,16.0,10.0,11.0,11.0,6.0,19.0,18.0,7.0,10.0,4.0,3.0,4.0,3.0,10.0,9.0,16.0,10.0,8.0,12.0,11.0,2.0,3.0,1.0,8.0,4.0,3.0,6.0,1.0,5.0,9.0,3.0,2.0,2.0,6.0,8.0,7.0,1.0,5.0,6.0,4.0,2.0,5.0,0,4.0,1.0,1.0,0,1.0,3.0,0,0
Tabaco Richmond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,6.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,8.0,0,3.0,3.0,0,1.0,0,0,0,0,0,0,1.0,5.0,8.0,6.0,0,3.0,1.0,0,0
Next 10,0,0,0,0,0,0,0,20.0,26.0,12.0,10.0,8.0,15.0,19.0,23.0,22.0,15.0,17.0,20.0,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,19.0,6.0,16.0,8.0,10.0,13.0,6.0,13.0,5.0,5.0,2.0,2.0,10.0,8.0,15.0,8.0,7.0,9.0,9.0,5.0,7.0,2.0,6.0,7.0,14.0,6.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aberdeen Angus Rose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parisienes 20 box,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,0,0,0,0,15.0,13.0,9.0,14.0,13.0,5.0,4.0,0
Marlboro 20 gold,0,0,0,0,0,0,0,83.0,79.0,80.0,77.0,66.0,67.0,51.0,34.0,51.0,56.0,48.0,53.0,42.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,4.0,3.0,8.0,3.0,4.0,3.0,3.0,5.0,2.0,2.0,2.0,2.0,6.0,4.0,0,1.0,3.0,5.0,1.0,5.0,10.0,3.0,3.0,0,5.0,1.0,2.0,1.0,0,1.0,0,3.0,0,0,1.0,1.0,0,1.0,0,0,1.0,1.0,0,0,0,0,0,0,0,2.0,0,0,0,0,1.0,0,0,2.0,0,0
Viceroy 20 box,0,0,0,0,0,0,0,0,0,2.0,7.0,8.0,11.0,7.0,17.0,20.0,5.0,5.0,11.0,12.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,13.0,17.0,13.0,6.0,8.0,7.0,9.0,5.0,4.0,9.0,0,2.0,1.0,5.0,2.0,4.0,2.0,5.0,1.0,3.0,6.0,4.0,2.0,5.0,7.0,3.0,3.0,5.0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,4.0,6.0,8.0,2.0,0,0,0,0,0,0,0,0,0,4.0,1.0,0,0,0
Viceroy 20 suaves,0,0,0,0,0,0,0,5.0,3.0,5.0,4.0,6.0,9.0,3.0,2.0,5.0,18.0,20.0,15.0,16.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,16.0,5.0,13.0,12.0,13.0,11.0,15.0,7.0,9.0,11.0,9.0,4.0,7.0,7.0,7.0,4.0,5.0,7.0,6.0,2.0,5.0,6.0,4.0,4.0,2.0,11.0,6.0,7.0,9.0,1.0,0,0,3.0,2.0,2.0,3.0,5.0,3.0,4.0,6.0,2.0,0,0,0,0,2.0,1.0,0,1.0,1.0,0,2.0,0,0,0,0,3.0,0,0,0,0,0
Lucky Strike 10,0,0,0,0,0,0,0,55.0,42.0,44.0,37.0,47.0,57.0,40.0,41.0,36.0,34.0,22.0,35.0,37.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,65.0,72.0,53.0,28.0,44.0,62.0,62.0,64.0,83.0,56.0,42.0,62.0,63.0,59.0,56.0,35.0,64.0,49.0,58.0,45.0,37.0,28.0,24.0,32.0,21.0,28.0,35.0,41.0,40.0,25.0,32.0,38.0,43.0,14.0,26.0,35.0,28.0,24.0,40.0,40.0,34.0,37.0,44.0,43.0,42.0,60.0,59.0,62.0,64.0,71.0,32.0,19.0,36.0,80.0,85.0,79.0,83.0,74.0,89.0,92.0,16.0,0
Lucky strike 20 box,0,0,0,0,0,0,0,20.0,11.0,12.0,9.0,16.0,19.0,15.0,10.0,15.0,13.0,24.0,22.0,19.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,41.0,23.0,12.0,7.0,10.0,5.0,6.0,0,11.0,5.0,6.0,5.0,11.0,9.0,8.0,7.0,7.0,7.0,6.0,12.0,2.0,10.0,4.0,16.0,7.0,11.0,15.0,11.0,10.0,10.0,6.0,3.0,8.0,4.0,4.0,3.0,3.0,3.0,6.0,8.0,6.0,7.0,11.0,3.0,3.0,4.0,6.0,8.0,11.0,5.0,4.0,1.0,4.0,14.0,4.0,1.0,1.0,1.0,9.0,2.0,0,0
Milenio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia Slims box,0,0,0,0,0,0,0,9.0,10.0,19.0,35.0,39.0,14.0,9.0,8.0,13.0,5.0,5.0,3.0,7.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,17.0,24.0,17.0,9.0,8.0,9.0,4.0,13.0,8.0,17.0,13.0,7.0,7.0,19.0,2.0,9.0,14.0,11.0,5.0,11.0,6.0,12.0,10.0,14.0,14.0,11.0,12.0,10.0,5.0,5.0,4.0,7.0,4.0,5.0,4.0,5.0,9.0,18.0,14.0,13.0,2.0,1.0,3.0,4.0,6.0,4.0,3.0,5.0,4.0,6.0,7.0,6.0,0,2.0,1.0,4.0,3.0,2.0,3.0,2.0,0
Dunhill convertibles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,2.0,1.0,0,0,4.0,0,0,0,0,1.0,2.0,0,1.0,0,0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philip Morris 20 box  CAPS convertibles,0,0,0,0,0,0,0,1.0,0,0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,7.0,14.0,26.0,21.0,18.0,0,2.0,18.0,18.0,33.0,25.0,15.0,35.0,17.0,17.0,34.0,35.0,18.0,17.0,13.0,45.0,28.0,20.0,23.0,39.0,21.0,32.0,39.0,23.0,27.0,38.0,39.0,44.0,24.0,58.0,34.0,29.0,44.0,62.0,52.0,77.0,74.0,54.0,75.0,68.0,11.0,0
Lucky Strike 20 Convertible comun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,3.0,1.0,0,0,0,2.0,2.0,0,0,0,5.0,2.0,0,1.0,3.0,0,2.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,4.0,3.0,0,0,0
Philip Morris 15 box,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0
Lucky Strike 20 box Doble Click,0,0,0,0,0,0,0,0,2.0,0,0,1.0,0,1.0,0,0,0,0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,17.0,6.0,2.0,8.0,8.0,5.0,1.0,4.0,3.0,6.0,3.0,3.0,6.0,6.0,1.0,11.0,3.0,4.0,1.0,1.0,5.0,4.0,0,5.0,0,0,1.0,2.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,27.0,37.0,16.0,16.0,10.0,3.0,9.0,9.0,12.0,13.0,8.0,3.0,0
Viceroy 10 ice (No Tiene),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,4.0,7.0,9.0,9.0,8.0,8.0,2.0,5.0,6.0,8.0,6.0,5.0,4.0,9.0,5.0,11.0,6.0,3.0,7.0,3.0,4.0,0,3.0,0,0,0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucky Strikes 10 Doble click (No Tiene),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,21.0,22.0,13.0,19.0,20.0,32.0,35.0,43.0,19.0,47.0,46.0,42.0,34.0,27.0,28.0,35.0,40.0,45.0,59.0,55.0,32.0,32.0,37.0,33.0,37.0,43.0,100.0,71.0,51.0,60.0,64.0,42.0,33.0,64.0,41.0,26.0,26.0,34.0,48.0,41.0,35.0,37.0,45.0,50.0,17.0,30.0,19.0,4.0,9.0,7.0,3.0,6.0,1.0,1.0,0
Red Point (No Tiene),0,0,0,0,0,0,0,18.0,10.0,1.0,8.0,0,0,0,1.0,0,7.0,13.0,5.0,25.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,6.0,0,0,0,0,0,0,0,0,7.0,13.0,16.0,4.0,43.0,63.0,39.0,48.0,60.0,24.0,21.0,13.0,4.0,0
